"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId"
"2025-06-04 17:45:59",1749059159456,"fau-erdalbhg.vercel.app/api/status","GET","",-1,"7cnhf-1749059159162-dad4cd04a111","curl/8.11.1","error","production","main","MISS","lambda","/api/[...route]","fau-erdalbhg.vercel.app","fau-erdalbhg.vercel.app","dpl_2UKUVdg2SksWdGcMkLRsq9CMMcXv",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/storage' imported from /var/task/server/routes.js
    at finalizeResolution (node:internal/modules/esm/resolve:281:11)
    at moduleResolve (node:internal/modules/esm/resolve:866:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:990:14)
    at defaultResolve (node:internal/modules/esm/resolve:1033:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:780:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:704:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:687:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:305:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:137:49) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/storage'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_7elQut0AK3PByYRWzvMDDQuJvDXI","","","6-sP9jfSa8NPuBbzdDFHx3qdFMMKeBZfGqysDt4um_Q=",""
"2025-06-04 17:45:59",1749059159207,"fau-erdalbhg.vercel.app/api/status","GET","",500,"7cnhf-1749059159162-dad4cd04a111","curl/8.11.1","error","production","main","MISS","lambda","/api/[...route]","fau-erdalbhg.vercel.app","fau-erdalbhg.vercel.app","dpl_2UKUVdg2SksWdGcMkLRsq9CMMcXv",224,"iad1",90,1024,"","prj_7elQut0AK3PByYRWzvMDDQuJvDXI","","","6-sP9jfSa8NPuBbzdDFHx3qdFMMKeBZfGqysDt4um_Q=",""
"2025-06-04 17:45:48",1749059148336,"fau-erdalbhg.vercel.app/api/status","GET","",-1,"5zx4z-1749059148058-2eb9b4d1c68b","curl/8.11.1","error","production","main","MISS","lambda","/api/[...route]","fau-erdalbhg.vercel.app","fau-erdalbhg.vercel.app","dpl_2UKUVdg2SksWdGcMkLRsq9CMMcXv",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/storage' imported from /var/task/server/routes.js
    at finalizeResolution (node:internal/modules/esm/resolve:281:11)
    at moduleResolve (node:internal/modules/esm/resolve:866:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:990:14)
    at defaultResolve (node:internal/modules/esm/resolve:1033:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:780:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:704:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:687:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:305:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:137:49) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/storage'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_7elQut0AK3PByYRWzvMDDQuJvDXI","","","qmJKZ4yGYOPcF-_nizQcaVrvNBrlm5KqCAQ1i2p5Qi8=",""
"2025-06-04 17:45:48",1749059148111,"fau-erdalbhg.vercel.app/api/status","GET","",500,"5zx4z-1749059148058-2eb9b4d1c68b","curl/8.11.1","error","production","main","MISS","lambda","/api/[...route]","fau-erdalbhg.vercel.app","fau-erdalbhg.vercel.app","dpl_2UKUVdg2SksWdGcMkLRsq9CMMcXv",206,"iad1",90,1024,"","prj_7elQut0AK3PByYRWzvMDDQuJvDXI","","","qmJKZ4yGYOPcF-_nizQcaVrvNBrlm5KqCAQ1i2p5Qi8=",""
"2025-06-04 17:45:24",1749059124692,"fau-erdalbhg.vercel.app/api/status","GET","",-1,"v7vkd-1749059124410-f7a48a8360fe","curl/8.11.1","error","production","main","MISS","lambda","/api/[...route]","fau-erdalbhg.vercel.app","fau-erdalbhg.vercel.app","dpl_2UKUVdg2SksWdGcMkLRsq9CMMcXv",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/storage' imported from /var/task/server/routes.js
    at finalizeResolution (node:internal/modules/esm/resolve:281:11)
    at moduleResolve (node:internal/modules/esm/resolve:866:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:990:14)
    at defaultResolve (node:internal/modules/esm/resolve:1033:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:780:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:704:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:687:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:305:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:137:49) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/storage'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_7elQut0AK3PByYRWzvMDDQuJvDXI","","","Dj_FxxAxN90Cl-YMPMcqEdgwu9XxbPF1PxzIwciEqho=",""
"2025-06-04 17:45:24",1749059124455,"fau-erdalbhg.vercel.app/api/status","GET","",500,"v7vkd-1749059124410-f7a48a8360fe","curl/8.11.1","error","production","main","MISS","lambda","/api/[...route]","fau-erdalbhg.vercel.app","fau-erdalbhg.vercel.app","dpl_2UKUVdg2SksWdGcMkLRsq9CMMcXv",215,"iad1",90,1024,"","prj_7elQut0AK3PByYRWzvMDDQuJvDXI","","","Dj_FxxAxN90Cl-YMPMcqEdgwu9XxbPF1PxzIwciEqho=",""
"2025-06-04 17:44:47",1749059087966,"fau-erdalbhg.vercel.app/api/status","GET","",-1,"hjhh2-1749059087680-37b57fe12b1c","curl/8.11.1","error","production","main","MISS","lambda","/api/[...route]","fau-erdalbhg.vercel.app","fau-erdalbhg.vercel.app","dpl_2UKUVdg2SksWdGcMkLRsq9CMMcXv",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/storage' imported from /var/task/server/routes.js
    at finalizeResolution (node:internal/modules/esm/resolve:281:11)
    at moduleResolve (node:internal/modules/esm/resolve:866:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:990:14)
    at defaultResolve (node:internal/modules/esm/resolve:1033:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:780:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:704:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:687:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:305:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:137:49) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/storage'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_7elQut0AK3PByYRWzvMDDQuJvDXI","","","xNMxDFL3dwHhOUj39i9WFQHmorkak-YxCrbilkspRpk=",""
"2025-06-04 17:44:47",1749059087729,"fau-erdalbhg.vercel.app/api/status","GET","",500,"hjhh2-1749059087680-37b57fe12b1c","curl/8.11.1","error","production","main","MISS","lambda","/api/[...route]","fau-erdalbhg.vercel.app","fau-erdalbhg.vercel.app","dpl_2UKUVdg2SksWdGcMkLRsq9CMMcXv",212,"iad1",90,1024,"","prj_7elQut0AK3PByYRWzvMDDQuJvDXI","","","xNMxDFL3dwHhOUj39i9WFQHmorkak-YxCrbilkspRpk=",""
"2025-06-04 17:44:23",1749059063813,"fau-erdalbhg.vercel.app/api/status","GET","",-1,"nxc7k-1749059063536-7d357680520f","curl/8.11.1","error","production","main","MISS","lambda","/api/[...route]","fau-erdalbhg.vercel.app","fau-erdalbhg.vercel.app","dpl_2UKUVdg2SksWdGcMkLRsq9CMMcXv",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/storage' imported from /var/task/server/routes.js
    at finalizeResolution (node:internal/modules/esm/resolve:281:11)
    at moduleResolve (node:internal/modules/esm/resolve:866:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:990:14)
    at defaultResolve (node:internal/modules/esm/resolve:1033:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:780:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:704:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:687:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:305:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:137:49) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/storage'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_7elQut0AK3PByYRWzvMDDQuJvDXI","","","SsZkv7c61fFbZ1Qdcv9YhdSrfmVTckZKzoWAUrmp6Yc=",""
"2025-06-04 17:44:23",1749059063583,"fau-erdalbhg.vercel.app/api/status","GET","",500,"nxc7k-1749059063536-7d357680520f","curl/8.11.1","error","production","main","MISS","lambda","/api/[...route]","fau-erdalbhg.vercel.app","fau-erdalbhg.vercel.app","dpl_2UKUVdg2SksWdGcMkLRsq9CMMcXv",215,"iad1",90,1024,"","prj_7elQut0AK3PByYRWzvMDDQuJvDXI","","","SsZkv7c61fFbZ1Qdcv9YhdSrfmVTckZKzoWAUrmp6Yc=",""
